Constituency,State / UT,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status
Krishnanagar,West Bengal,12,MAHUA MOITRA,All India Trinamool Congress,AMRITA ROY,Bharatiya Janata Party,56705,Result Declared
Kurnoolu,Andhra Pradesh,18,BASTIPATI NAGARAJU PANCHALINGALA,Telugu Desam,B Y RAMAIAH,Yuvajana Sramika Rythu Congress Party,111298,Result Declared
Kushi Nagar,Uttar Pradesh,65,VIJAY KUMAR DUBAY,Bharatiya Janata Party,AJAY PRATAP SINGH URF PINTU SAITHWAR,Samajwadi Party,81790,Result Declared
Ladakh,Ladakh,1,MOHMAD HANEEFA,Independent,TSERING NAMGYAL,Indian National Congress,27862,Result Declared
Lakhimpur,Assam,12,PRADAN BARUAH,Bharatiya Janata Party,UDAY SHANKAR HAZARIKA,Indian National Congress,201257,Result Declared
Lakshadweep,Lakshadweep,1,MUHAMMED HAMDULLAH SAYEED,Indian National Congress,MOHAMMED FAIZAL PP,Nationalist Congress Party ü?? Sharadchandra Pawar,2647,Result Declared
Lalganj,Uttar Pradesh,68,DAROGA PRASAD SAROJ,Samajwadi Party,NEELAM SONKER,Bharatiya Janata Party,115023,Result Declared
Latur,Maharashtra,41,DR. KALGE SHIVAJI BANDAPPA,Indian National Congress,SUDHAKAR TUKARAM SHRANGARE,Bharatiya Janata Party,61881,Result Declared
Lohardaga,Jharkhand,12,SUKHDEO BHAGAT,Indian National Congress,SAMIR ORAON,Bharatiya Janata Party,139138,Result Declared
Lucknow,Uttar Pradesh,35,RAJ NATH SINGH,Bharatiya Janata Party,RAVIDAS MEHROTRA,Samajwadi Party,135159,Result Declared
Ludhiana,Punjab,7,AMRINDER SINGH RAJA WARRING,Indian National Congress,RAVNEET SINGH BITTU,Bharatiya Janata Party,20942,Result Declared
MADURAI,Tamil Nadu,32,VENKATESAN S,Communist Party of India (Marxist),RAAMA SREENIVASAN,Bharatiya Janata Party,209409,Result Declared
MAHASAMUND,Chhattisgarh,9,ROOP KUMARI CHOUDHARY,Bharatiya Janata Party,TAMRADHWAJ SAHU,Indian National Congress,145456,Result Declared
MANDI,Himachal Pradesh,2,KANGNA RANAUT,Bharatiya Janata Party,VIKRAMADITYA SINGH,Indian National Congress,74755,Result Declared
MANDLA,Madhya Pradesh,14,FAGGAN SINGH KULASTE,Bharatiya Janata Party,OMKAR SINGH MARKAM,Indian National Congress,103846,Result Declared
MANDSOUR,Madhya Pradesh,23,SUDHEER GUPTA,Bharatiya Janata Party,DILIP SINGH GURJAR,Indian National Congress,500655,Result Declared
MAYILADUTHURAI,Tamil Nadu,28,SUDHA R,Indian National Congress,BABU P,All India Anna Dravida Munnetra Kazhagam,271183,Result Declared
MIZORAM,Mizoram,1,RICHARD VANLALHMANGAIHA,Zoram Peopleü??s Movement,K VANLALVENA,Mizo National Front,68288,Result Declared
MORENA,Madhya Pradesh,1,SHIVMANGAL SINGH TOMAR,Bharatiya Janata Party,NEETU SATYAPAL SINGH SIKARWAR,Indian National Congress,52530,Result Declared
Machhlishahr,Uttar Pradesh,74,PRIYA SAROJ,Samajwadi Party,BHOLANATH (B.P. SAROJ),Bharatiya Janata Party,35850,Result Declared
Machilipatnam,Andhra Pradesh,11,BALASHOWRY VALLABHANENI,Janasena Party,SIMHADRI CHANDRA SEKHAR RAO,Yuvajana Sramika Rythu Congress Party,223179,Result Declared
Madha,Bihar,43,MOHITE-PATIL DHAIRYASHEEL RAJSINH,Nationalist Congress Party ü?? Sharadchandra Pawar,RANJEETSINGH HINDURAO NAIK NIMBALKAR,Bharatiya Janata Party,120837,Result Declared
Madhepura,Bihar,13,DINESH CHANDRA YADAV,Janata Dal (United),DA KUMAR CHANDRADEEP,Rashtriya Janata Dal,174534,Result Declared
Madhubani,Bihar,6,ASHOK KUMAR YADAV,Bharatiya Janata Party,MD ALI ASHRAF FATMI,Rashtriya Janata Dal,151945,Result Declared
Mahabubabad,Telangana,16,BALRAM NAIK PORIKA,Indian National Congress,KAVITHA MALOTH,Bharat Rashtra Samith,349165,Result Declared
Maharajganj,Uttar Pradesh,63,PANKAJ CHAUDHARY,Bharatiya Janata Party,VIRENDRA CHAUDHARY,Indian National Congress,35451,Result Declared
Maharajganj,Uttar Pradesh,19,"JANARDAN SINGH ""SIGRIWAL""",Bharatiya Janata Party,AAKASH KUMAR SINGH,Indian National Congress,102651,Result Declared
Mahbubnagar,Telangana,11,ARUNA. D. K,Bharatiya Janata Party,CHALLA VAMSHI CHAND REDDY,Indian National Congress,4500,Result Declared
Mahesana,Gujarat,4,HARIBHAI PATEL,Bharatiya Janata Party,RAMJI THAKOR,Indian National Congress,328046,Result Declared
Mainpuri,Uttar Pradesh,21,DIMPLE YADAV,Samajwadi Party,JAYVEER SINGH,Bharatiya Janata Party,221639,Result Declared
Malappuram,Kerala,6,E.T. MOHAMMED BASHEER,Indian Union Muslim League,V. VASEEF,Communist Party of India (Marxist),300118,Result Declared
Maldaha Dakshin,West Bengal,8,ISHA KHAN CHOUDHURY,Indian National Congress,SREERUPA MITRA CHAUDHURY (NIRBHAYA DIDI),Bharatiya Janata Party,128368,Result Declared
Maldaha Uttar,West Bengal,7,KHAGEN MURMU,Bharatiya Janata Party,PRASUN BANERJEE,All India Trinamool Congress,77708,Result Declared
Malkajgiri,Telangana,7,EATALA RAJENDER,Bharatiya Janata Party,PATNAM SUNEETHA MAHENDER REDDY,Indian National Congress,391475,Result Declared
Mandya,Karnataka,20,H.D. KUMARASWAMY,Janata Dal (Secular),VENKATARAMANE GOWDA (STAR CHANDRU),Indian National Congress,284620,Result Declared
Mathura,Uttar Pradesh,17,HEMAMALINI DHARMENDRA DEOL,Bharatiya Janata Party,MUKESH DHANGAR,Indian National Congress,293407,Result Declared
Mathurapur,West Bengal,20,BAPI HALDAR,All India Trinamool Congress,ASHOK PURKAIT,Bharatiya Janata Party,201057,Result Declared
Maval,Maharashtra,33,SHRIRANG APPA CHANDU BARNE,Shiv Sena,SANJOG BHIKU WAGHERE PATIL,Shiv Sena (Uddhav Balasaheb Thackrey),96615,Result Declared
Mavelikkara,Kerala,16,KODIKUNNIL SURESH,Indian National Congress,ADV ARUN KUMAR C A,Communist Party of India,10868,Result Declared
Mayurbhanj,Odisha,5,NABA CHARAN MAJHI,Bharatiya Janata Party,SUDAM MARNDI,Biju Janata Dal,219334,Result Declared
Medak,Telangana,6,MADHAVANENI RAGHUNANDAN RAO,Bharatiya Janata Party,NEELAM MADHU,Indian National Congress,39139,Result Declared
Medinipur,West Bengal,34,JUNE MALIAH,All India Trinamool Congress,AGNIMITRA PAUL,Bharatiya Janata Party,27191,Result Declared
Meerut,Uttar Pradesh,10,ARUN GOVIL,Bharatiya Janata Party,SUNITA VERMA,Samajwadi Party,10585,Result Declared
Mirzapur,Uttar Pradesh,79,ANUPRIYA PATEL,Apna Dal (Soneylal),RAMESH CHAND BIND,Samajwadi Party,37810,Result Declared
Misrikh,Uttar Pradesh,32,ASHOK KUMAR RAWAT,Bharatiya Janata Party,SANGITA RAJVANSHI,Samajwadi Party,33406,Result Declared
Mohanlalganj,Uttar Pradesh,34,R.K. CHAUDHARY,Samajwadi Party,KAUSHAL KISHORE,Bharatiya Janata Party,70292,Result Declared
Moradabad,Uttar Pradesh,6,RUCHI VIRA,Samajwadi Party,KUNWAR SARVESH KUMAR,Bharatiya Janata Party,105762,Result Declared
Mumbai North,Maharashtra,26,PIYUSH GOYAL,Bharatiya Janata Party,BHUSHAN PATIL,Indian National Congress,357608,Result Declared
Mumbai North Central,Maharashtra,29,GAIKWAD VARSHA EKNATH,Indian National Congress,ADV UJWAL NIKAM,Bharatiya Janata Party,16514,Result Declared
Mumbai North East,Maharashtra,28,SANJAY DINA PATIL,Shiv Sena (Uddhav Balasaheb Thackrey),MIHIR CHANDRAKANT KOTECHA,Bharatiya Janata Party,29861,Result Declared
Mumbai North West,Maharashtra,27,RAVINDRA DATTARAM WAIKAR,Shiv Sena,AMOL GAJANAN KIRTIKAR,Shiv Sena (Uddhav Balasaheb Thackrey),48,Result Declared
Mumbai South,Maharashtra,31,ARVIND GANPAT SAWANT,Shiv Sena (Uddhav Balasaheb Thackrey),YAMINI YASHWANT JADHAV,Shiv Sena,52673,Result Declared
Mumbai South Central,Maharashtra,30,ANIL YESHWANT DESAI,Shiv Sena (Uddhav Balasaheb Thackrey),RAHUL RAMESH SHEWALE,Shiv Sena,53384,Result Declared
Munger,Bihar,28,RAJIV RANJAN SINGH ALIAS LALAN SINGH,Janata Dal (United),KUMARI ANITA,Rashtriya Janata Dal,80870,Result Declared
Murshidabad,West Bengal,11,ABU TAHER KHAN,All India Trinamool Congress,MD SALIM,Communist Party of India (Marxist),164215,Result Declared
Muzaffarnagar,Uttar Pradesh,3,HARENDRA SINGH MALIK,Samajwadi Party,SANJEEV KUMAR BALYAN,Bharatiya Janata Party,24672,Result Declared
Muzaffarpur,Bihar,15,RAJ BHUSHAN CHOUDHARY,Bharatiya Janata Party,AJAY NISHAD,Indian National Congress,234927,Result Declared
Mysore,Karnataka,21,YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,Bharatiya Janata Party,M. LAKSHMANA,Indian National Congress,139262,Result Declared
NAGAPATTINAM,Tamil Nadu,29,SELVARAJ V,Communist Party of India,DR SURSITH SANKAR G,All India Anna Dravida Munnetra Kazhagam,208957,Result Declared
NAGAUR,Maharashtra,14,HANUMAN BENIWAL,Rashtriya Loktantrik Party,JYOTI MIRDHA,Bharatiya Janata Party,42225,Result Declared
NAMAKKAL,Tamil Nadu,16,MATHESWARAN V S,Dravida Munnetra Kazhagam,TAMILMANI S,All India Anna Dravida Munnetra Kazhagam,29112,Result Declared
NILGIRIS,Tamil Nadu,19,RAJA A,Dravida Munnetra Kazhagam,DR MURUGAN L,Bharatiya Janata Party,240585,Result Declared
Nabarangpur,Odisha,12,BALABHADRA MAJHI,Bharatiya Janata Party,PRADEEP KUMAR MAJHI,Biju Janata Dal,87536,Result Declared
Nagaland,Nagaland,1,S SUPONGMEREN JAMIR,Indian National Congress,DR CHUMBEN MURRY,Nationalist Democratic Progressive Party,50984,Result Declared
Nagaon,Assam,9,PRADYUT BORDOLOI,Indian National Congress,SURESH BORAH,Bharatiya Janata Party,212231,Result Declared
Nagarkurnool,Telangana,12,DR.MALLU RAVI,Indian National Congress,BHARATH PRASAD POTHUGANTI,Bharatiya Janata Party,94414,Result Declared
Nagina,Uttar Pradesh,5,CHANDRASHEKHAR,Aazad Samaj Party (Kanshi Ram),OM KUMAR,Bharatiya Janata Party,151473,Result Declared
Nagpur,Maharashtra,10,NITIN JAIRAM GADKARI,Bharatiya Janata Party,VIKAS THAKRE,Indian National Congress,137603,Result Declared
Nainital-Udhamsingh Nagar,Uttarakhand,4,AJAY BHATT,Bharatiya Janata Party,PRAKASH JOSHI,Indian National Congress,334548,Result Declared
Nalanda,Bihar,29,KAUSHALENDRA KUMAR,Janata Dal (United),DR. SANDEEP SAURAV,Communist Party of India (Marxist-Leninist) (Liberation),169114,Result Declared
Nalgonda,Telangana,13,KUNDURU RAGHUVEER,Indian National Congress,SAIDI REDDY SHANAMPUDI,Bharatiya Janata Party,559905,Result Declared
Nanded,Maharashtra,16,CHAVAN VASANTRAO BALWANTRAO,Indian National Congress,CHIKHALIKAR PRATAPRAO GOVINDRAO,Bharatiya Janata Party,59442,Result Declared
Nandurbar,Bihar,1,ADV GOWAAL KAGADA PADAVI,Indian National Congress,DR HEENA VIJAYKUMAR GAVIT,Bharatiya Janata Party,159120,Result Declared
Nandyal,Andhra Pradesh,17,DR BYREDDY SHABARI,Telugu Desam,POCHA BRAHMANANDA REDDY,Yuvajana Sramika Rythu Congress Party,111975,Result Declared
Narsapuram,Andhra Pradesh,9,BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),Bharatiya Janata Party,UMABALA GUDURI,Yuvajana Sramika Rythu Congress Party,276802,Result Declared
Narsaraopet,Andhra Pradesh,14,LAVU SRIKRISHNA DEVARAYALU,Telugu Desam,ANIL KUMAR POLUBOINA,Yuvajana Sramika Rythu Congress Party,159729,Result Declared
Nashik,Maharashtra,21,RAJABHAU (PARAG) PRAKASH WAJE,Shiv Sena (Uddhav Balasaheb Thackrey),GODSE HEMANT TUKARAM,Shiv Sena,162001,Result Declared
Navsari,Gujarat,25,C R PATIL,Bharatiya Janata Party,NAISHADHBHAI BHUPATBHAI DESAI,Indian National Congress,773551,Result Declared
Nawada,Bihar,39,VIVEK THAKUR,Bharatiya Janata Party,SHRAWAN KUMAR,Rashtriya Janata Dal,67670,Result Declared
Nellore,Andhra Pradesh,22,PRABHAKAR REDDY VEMIREDDY,Telugu Desam,VENUMBAKA VIJAYASAI REDDY,Yuvajana Sramika Rythu Congress Party,245902,Result Declared
New Delhi,New Delhi ,4,BANSURI SWARAJ,Bharatiya Janata Party,SOMNATH BHARTI,Aam Aadmi Party,78370,Result Declared
Nizamabad,Telangana,4,ARVIND DHARMAPURI,Bharatiya Janata Party,JEEVANREDDY THATIPARTHI,Indian National Congress,109241,Result Declared
North Goa,Goa,1,SHRIPAD YESSO NAIK,Bharatiya Janata Party,RAMAKANT KHALAP,Indian National Congress,116015,Result Declared
North-East Delhi,New Delhi ,2,MANOJ TIWARI,Bharatiya Janata Party,KANHAIYA KUMAR,Indian National Congress,138778,Result Declared
North-West Delhi,New Delhi ,5,YOGENDER CHANDOLIYA,Bharatiya Janata Party,UDIT RAJ,Indian National Congress,290849,Result Declared
Ongole,Andhra Pradesh,16,MAGUNTA SREENIVASULU REDDY,Telugu Desam,DR CHEVIREDDY BHASKAR REDD,Yuvajana Sramika Rythu Congress Party,50199,Result Declared
Osmanabad,Maharashtra,40,OMPRAKASH BHUPALSINH ALIAS PAVAN RAJENIMBALKAR,Shiv Sena (Uddhav Balasaheb Thackrey),ARCHANA RANAJAGJITSINH PATIL,Nationalist Congress Party,329846,Result Declared
Outer Manipur,Manipur,2,ALFRED KANNGAM S ARTHUR,Indian National Congress,KACHUI TIMOTHY ZIMIK,Naga Peoples Front,85418,Result Declared
PALI,Rajasthan,15,P. P. CHAUDHARY,Bharatiya Janata Party,SANGEETA BENIWAL,Indian National Congress,245351,Result Declared
PERAMBALUR,Tamil Nadu,25,ARUN NEHRU,Dravida Munnetra Kazhagam,CHANDRAMOHAN N D,All India Anna Dravida Munnetra Kazhagam,389107,Result Declared
POLLACHI,Tamil Nadu,21,ESWARASAMY K,Dravida Munnetra Kazhagam,KARTHIKEYAN A,All India Anna Dravida Munnetra Kazhagam,252042,Result Declared
PUDUCHERRY,Puducherry,1,VE VAITHILINGAM,Indian National Congress,A NAMASSIVAYAM,Bharatiya Janata Party,136516,Result Declared
Palakkad,Kerala,8,V K SREEKANDAN,Indian National Congress,A VIJAYARAGHAVAN,Communist Party of India (Marxist),75283,Result Declared
Palamau,Jharkhand,13,VISHNU DAYAL RAM,Bharatiya Janata Party,MAMTA BHUIYAN,Rashtriya Janata Dal,288807,Result Declared
Palghar,Maharashtra,22,DR. HEMANT VISHNU SAVARA,Bharatiya Janata Party,BHARTI BHARAT KAMDI,Shiv Sena (Uddhav Balasaheb Thackrey),183306,Result Declared
Panchmahal,Gujarat,18,RAJPALSINH MAHENDRASINH JADAV,Bharatiya Janata Party,GULABSINH SOMSINH CHAUHAN,Indian National Congress,509342,Result Declared
Parbhani,Maharashtra,17,JADHAV SANJAY ( BANDU ) HARIBHAU,Shiv Sena (Uddhav Balasaheb Thackrey),JANKAR MAHADEV JAGANNATH,Rashtriya Samaj Paksha,134061,Result Declared
Paschim Champaran,Bihar,2,DR.SANJAY JAISWAL,Bharatiya Janata Party,MADAN MOHAN TIWARI,Indian National Congress,136568,Result Declared
Patan,Gujarat,3,DABHI BHARATSINHJI SHANKARJI,Bharatiya Janata Party,CHANDANJI TALAJI THAKOR,Indian National Congress,31876,Result Declared
Pathanamthitta,Kerala,17,ANTO ANTONY,Indian National Congress,DR.T.M.THOMAS ISSAC,Communist Party of India (Marxist),66119,Result Declared
Patiala,Punjab,13,DR DHARAMVIRA GANDHI,Indian National Congress,DR BALBIR SINGH,Aam Aadmi Party,14831,Result Declared
Patliputra,Bihar,31,MISHA BHARTI,Rashtriya Janata Dal,RAM KRIPAL YADAV,Bharatiya Janata Party,85174,Result Declared
Patna Sahib,Bihar,30,RAVI SHANKAR PRASAD,Bharatiya Janata Party,ANSHUL AVIJIT,Indian National Congress,153846,Result Declared
Peddapalle,Telangana,2,VAMSI KRISHNA GADDAM,Indian National Congress,SRINIVAS GOMASE,Bharatiya Janata Party,131364,Result Declared
Phulpur,Uttar Pradesh,51,PRAVEEN PATEL,Bharatiya Janata Party,AMAR NATH SINGH MAURYA,Samajwadi Party,4332,Result Declared
Pilibhit,Uttar Pradesh,26,JITIN PRASADA,Bharatiya Janata Party,BHAGWAT SARAN GANGWAR,Samajwadi Party,164935,Result Declared
Ponnani,Kerala,7,DR. M.P ABDUSSAMAD SAMADANI,Indian Union Muslim League,K.S HAMZA,Communist Party of India (Marxist),235760,Result Declared
Porbandar,Gujarat,11,DR. MANSUKH MANDAVIYA,Bharatiya Janata Party,LALIT VASOYA,Indian National Congress,383360,Result Declared
Pratapgarh,Uttar Pradesh,39,SHIV PAL SINGH PATEL (DR. S P SINGH),Samajwadi Party,SANGAM LAL GUPTA,Bharatiya Janata Party,66206,Result Declared
Pune,Maharashtra,34,MURLIDHAR MOHOL,Bharatiya Janata Party,DHANGEKAR RAVINDRA HEMRAJ,Indian National Congress,123038,Result Declared
Puri,Odisha,17,SAMBIT PATRA,Bharatiya Janata Party,ARUP MOHAN PATNAIK,Biju Janata Dal,104709,Result Declared
Purnia,Bihar,12,RAJESH RANJAN ALIAS PAPPU YADAV,Independent,SANTOSH KUMAR,Janata Dal (United),23847,Result Declared
Purulia,West Bengal,35,JYOTIRMAY SINGH MAHATO,Bharatiya Janata Party,SHANTIRAM MAHATO,All India Trinamool Congress,17079,Result Declared
Purvi Champaran,Bihar,3,RADHA MOHAN SINGH,Bharatiya Janata Party,DR RAJESH KUMAR,Vikassheel Insaan Party,88287,Result Declared
RAIGARH,Chhattisgarh,2,RADHESHYAM RATHIYA,Bharatiya Janata Party,DR. MENKA DEVI SINGH,Indian National Congress,240391,Result Declared
RAIPUR,Chhattisgarh,8,BRIJMOHAN AGRAWAL,Bharatiya Janata Party,VIKAS UPADHYAY,Indian National Congress,575285,Result Declared
RAJGARH,Madhya Pradesh,20,RODMAL NAGAR,Bharatiya Janata Party,DIGVIJAYA SINGH,Indian National Congress,146089,Result Declared
RAJNANDGAON,Chhattisgarh,6,SANTOSH PANDEY,Bharatiya Janata Party,BHUPESH BAGHEL,Indian National Congress,44411,Result Declared
RAJSAMAND,Rajasthan,22,MAHIMA KUMARI MEWAR,Bharatiya Janata Party,DR. DAMODAR GURJAR,Indian National Congress,392223,Result Declared
RAMANATHAPURAM,Tamil Nadu,35,NAVASKANI K,Indian Union Muslim League,PANNEERSELVAM O S/O OTTAKARATHEVAR,Independent,166782,Result Declared
RATLAM,Madhya Pradesh,24,ANITA NAGARSINGH CHOUHAN,Bharatiya Janata Party,KANTILAL BHURIA,Indian National Congress,207232,Result Declared
REWA,Madhya Pradesh,10,JANARDAN MISHRA,Bharatiya Janata Party,NEELAM ABHAY MISHRA,Indian National Congress,193374,Result Declared
ROHTAK,Haryana,7,DEEPENDER SINGH HOODA,Indian National Congress,DR. ARVIND KUMAR SHARMA,Bharatiya Janata Party,345298,Result Declared
Rae Bareli,Uttar Pradesh,36,RAHUL GANDHI,Indian National Congress,DINESH PRATAP SINGH,Bharatiya Janata Party,390030,Result Declared
Raichur,Karnataka,6,G. KUMAR NAIK.,Indian National Congress,RAJA AMARESHWARA NAIK.,Bharatiya Janata Party,79781,Result Declared
Raigad,Maharashtra,32,TATKARE SUNIL DATTATREY,Nationalist Congress Party,ANANT GEETE,Shiv Sena (Uddhav Balasaheb Thackrey),82784,Result Declared
Raiganj,West Bengal,5,KARTICK CHANDRA PAUL,Bharatiya Janata Party,KALYANI KRISHNA,All India Trinamool Congress,68197,Result Declared
Rajahmundry,Andhra Pradesh,8,DAGGUBATI PURANDHESHWARI,Bharatiya Janata Party,DR. GUDURI SRINIVAS,Yuvajana Sramika Rythu Congress Party,239139,Result Declared
